routes,path_len,providers_per_rule,prefix_rules_per_origin,origin_diversity_pct,generated_prefix_rules,active_prefix_rules,distinct_origins,case,wall_us_mean,wall_us_ci95,total_ns_mean,total_ns_ci95,total_us_mean,total_us_ci95,calls_mean,calls_ci95,avg_ns_mean,avg_ns_ci95,rss_kb_mean,rss_kb_ci95,user_us_mean,user_us_ci95,sys_us_mean,sys_us_ci95,minflt_mean,minflt_ci95,majflt_mean,majflt_ci95,nvcsw_mean,nvcsw_ci95,nivcsw_mean,nivcsw_ci95,delta_total_ns_pct_vs_original,delta_wall_pct_vs_original,delta_total_pct_vs_original,delta_avg_ns_pct_vs_original,delta_rss_pct_vs_original,delta_user_pct_vs_original,delta_sys_pct_vs_original
1000000,4,10,4,1,40000,40000,10000,linear-global,892834.9,17037.8,150447156.8,572126.76,150446.7,572.22,1000000.0,0.0,149.9,0.63,1871542.8,70.11,3843921.7,36165.44,1109994.4,31986.02,470431.7,0.83,0.0,0.0,0.0,0.0,31.4,12.26,-2.79,-1.12,-2.79,-2.85,0.24,0.30,-1.29
1000000,4,10,4,1,40000,40000,10000,linear-hit,941568.7,11040.99,195048285.5,835725.99,195047.7,835.82,1000000.0,0.0,194.6,0.84,1916928.0,72.9,4025712.1,54155.7,1146407.6,47612.25,482026.3,1.01,0.0,0.0,0.2,0.3,40.7,13.51,26.03,4.28,26.03,26.12,2.67,5.04,1.95
1000000,4,10,4,1,40000,40000,10000,linear-miss,927035.2,26210.38,181984398.9,2127723.12,181983.9,2127.74,1000000.0,0.0,181.6,2.16,1916893.2,75.71,4005738.5,84624.88,1172058.6,83145.7,482025.5,0.91,0.0,0.0,0.0,0.0,44.1,21.84,17.59,2.67,17.59,17.69,2.67,4.52,4.23
1000000,4,10,4,1,40000,40000,10000,trie-global,997929.4,28230.67,163074446.2,2821701.82,163074.1,2821.66,1000000.0,0.0,162.5,2.68,1888044.8,63.99,4014092.2,94207.47,1253931.0,118308.18,474581.2,0.81,0.0,0.0,0.0,0.0,44.0,24.46,5.37,10.52,5.37,5.31,1.12,4.74,11.51
1000000,4,10,4,1,40000,40000,10000,trie-hit,1123835.2,22331.89,305934678.0,5982062.75,305934.2,5982.21,1000000.0,0.0,305.4,6.03,2016878.8,49.8,4231303.9,116871.03,1356811.9,99086.25,507040.6,1.02,0.0,0.0,0.0,0.0,48.1,24.68,97.68,24.47,97.68,97.93,8.02,10.41,20.66
1000000,4,10,4,1,40000,40000,10000,trie-miss,1084680.6,49416.12,250994816.0,11662922.67,250994.3,11662.94,1000000.0,0.0,250.6,11.63,2016917.2,53.22,4161616.7,123007.85,1303106.3,146485.22,507041.4,1.08,0.0,0.0,0.0,0.0,51.4,38.71,62.18,20.13,62.18,62.41,8.03,8.59,15.89
1000000,4,10,4,2,80000,80000,20000,hybrid-global,975174.2,18070.64,161704508.4,1114941.19,161704.3,1114.99,1000000.0,0.0,161.2,1.11,1917385.6,74.7,4043959.5,59911.96,1085779.8,33096.71,482000.4,0.77,0.0,0.0,0.0,0.0,29.9,13.42,-0.81,8.16,-0.81,-0.86,1.61,4.43,-1.76
1000000,4,10,4,2,80000,80000,20000,hybrid-hit,1036711.4,13993.73,216128863.8,711442.46,216128.4,711.37,1000000.0,0.0,215.6,0.69,2008450.8,64.18,4317263.4,41664.16,1191987.8,22615.06,505288.8,0.88,0.0,0.0,0.0,0.0,32.5,17.05,32.57,14.99,32.57,32.60,6.43,11.49,7.85
1000000,4,10,4,2,80000,80000,20000,hybrid-miss,1010534.1,13874.7,201552116.7,1471149.35,201551.6,1471.21,1000000.0,0.0,201.2,1.54,2008484.8,49.15,4250209.9,31113.51,1185625.5,33183.07,505288.1,0.71,0.0,0.0,0.0,0.0,45.2,16.72,23.63,12.08,23.63,23.74,6.43,9.76,7.27
1000000,4,10,4,2,80000,80000,20000,original-global,901604.9,15482.25,163030458.9,1040494.43,163030.0,1040.49,1000000.0,0.0,162.6,1.08,1887076.8,70.88,3872246.0,55572.25,1105224.4,33066.72,474390.7,0.83,0.0,0.0,0.0,0.0,40.7,27.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000000,4,10,4,2,80000,80000,20000,linear-global,907670.2,10606.83,161214394.7,754029.17,161213.8,754.16,1000000.0,0.0,160.8,0.66,1895702.8,36.62,3976019.1,64837.96,1071932.3,53641.41,476594.5,0.77,0.0,0.0,0.0,0.0,21.4,15.39,-1.11,0.67,-1.11,-1.11,0.46,2.68,-3.01
1000000,4,10,4,2,80000,80000,20000,linear-hit,995993.5,18776.41,212355681.5,2293281.39,212355.1,2293.39,1000000.0,0.0,211.9,2.32,1986170.4,69.16,4307041.7,64820.47,1156778.2,50828.97,499724.6,1.13,0.0,0.0,0.0,0.0,34.1,20.05,30.26,10.47,30.26,30.32,5.25,11.23,4.66
1000000,4,10,4,2,80000,80000,20000,linear-miss,976156.7,10805.39,199395936.2,1386484.71,199395.4,1386.56,1000000.0,0.0,198.9,1.45,1986174.0,63.78,4252457.8,53399.41,1187896.3,46754.67,499724.1,0.92,0.0,0.0,0.0,0.0,43.2,33.76,22.31,8.27,22.31,22.32,5.25,9.82,7.48
1000000,4,10,4,2,80000,80000,20000,trie-global,987081.9,22239.2,173732742.4,1855869.39,173732.2,1855.93,1000000.0,0.0,173.3,1.72,1916129.2,88.4,4018749.9,30867.12,1122426.2,43396.96,481684.6,1.13,0.0,0.0,0.0,0.0,55.2,48.8,6.56,9.48,6.56,6.58,1.54,3.78,1.56
1000000,4,10,4,2,80000,80000,20000,trie-hit,1229338.6,44716.66,389328303.2,16541803.08,389327.8,16541.72,1000000.0,0.0,388.8,16.58,2174484.0,80.32,4431857.4,48694.99,1284151.7,44128.61,546770.7,0.48,0.0,0.0,0.0,0.0,63.9,20.06,138.81,36.35,138.81,139.11,15.23,14.45,16.19
1000000,4,10,4,2,80000,80000,20000,trie-miss,1172955.2,23269.92,332858361.2,8552046.67,332857.9,8552.09,1000000.0,0.0,332.3,8.65,2174469.2,63.62,4305677.3,68345.4,1312741.1,51300.93,546770.0,0.48,0.0,0.0,0.1,0.23,46.4,20.96,104.17,30.10,104.17,104.37,15.23,11.19,18.78
1000000,4,10,6,1,60000,60000,10000,hybrid-global,940684.2,34469.53,147619900.8,2819694.65,147619.4,2819.66,1000000.0,0.0,147.0,2.92,1888534.0,44.37,3830841.9,68104.05,1156852.1,42103.73,474663.9,0.92,0.0,0.0,0.0,0.0,69.8,31.63,-3.28,6.10,-3.28,-3.48,1.15,1.42,3.90
